燕舞，燕舞，一曲歌来一片情。 　　 ： 燕舞收录机
创意似金，敬业如牛 　　 ： 金牛广告
不要让男人一手把握 　　 ： 某胸罩广告
如同情人的手 　　 ： 某避孕套广告
金窝银窝，不如自己的安乐窝。 　　 ： 房地产广告
没有什么大不了的 　　 ： 丰胸
当你看到我们的时候，我和我们的新闻在纸上；当你看不到我们的时候，我和我们的新闻在路上。　　 ： 南方周末新版广告语
时间因我存在 　　 ： 罗西尼表
只要有梦想 凡事可成真 　　 ： 香港电信
南方周末 一纸风行 　　 ： 南方周末
时间改变一切 　　 ： 雷达表
地球人都知道了 　　 ： 北极绒
众里寻他千百度，想要几度就几度 　　 ： 伊莱克斯冰箱
您身边的银行，可信赖的银行 　　 ： 中国工商银行
三叶钢琴：学琴的孩子不会变坏 　　 ： 三叶钢琴
柯达：串起生活每一刻 　　 ： 柯达
大众甲克虫汽车：想想还是小的好 　　 ： 大众甲克虫汽车
一直被模拟,从未被超越 　　 ： 汽车广告
幸福生活 我有一套 　　 ： 避孕套广告
朗讯的创造力科技的原动力 　　 ： 朗讯
事事因你而出色 　　 ： 雀巢咖啡
运动之美，世界共享 　　 ： 李宁
鹤舞白沙 我心翱翔 　　 ： 白沙烟
想知道“清嘴”的味道吗？ 　　 ： 清嘴
弹指一挥间，世界皆互联 　　 ： 《互联网周刊》
选择《读者》，也就选择了一类优秀文化，一种新的视野，一位人生的好友。　　 ： 读者杂志
更多选择、更多欢笑 　　 ： 麦当劳
方太，让家的感觉更好 　　 ： 方太橱具
世上仅此一件，今生与你结缘！ 　　 ： 石头记
白里透红与众不同 　　 ： 记不起来了。
没有蛀牙-佳洁士 　　 ： 佳洁士
有线的价值 无线的享受 　　 ： 小灵通
享受快乐科技 　　 ： 明基
四海一家的解决之道 　　 ： IBM
娃哈哈纯净水：爱你等于爱自己 　　 ： 娃哈哈
农民山泉：有点甜 　　 ： 农民山泉
博大精深，西门子 　　 ： 西门子
一切尽在把握 　　 ： 爱立信
声声百思特，遥遥两相知 　　 ： 百思特
一呼天下应 　　 ： 润讯
让我们做得更好！ 　　 ： 飞利浦
暖和亲情，金龙鱼的大家庭。 　　 ： 金龙鱼
自然最健康，绿色好心情 　　 ： 康师傅
支起网络世界 　　 ： 赢海威
立邦漆：处处放光彩！ 　　 ： 立邦漆
fm365:真情互动！ 　　 ： fm365网
庄重一生，吉祥一生。 　　 ： 庄吉西服
人人都为礼品愁，我送北极海狗油。 　　 ： 北极海狗油
假如说人生的离合是一场戏，那么百年的好合更是早有安排！ 　　 ：百年润发
一品黄山天高云淡 　　 ： 一品黄山
上上下下的享受！ 　　 ： 三菱电梯
我是、我行、我素 　　 ： 伊氏女人网
让无力者有力，让悲观者前行 　　 ： 南方周末
金利来—-男人的世界！ 　　 ： 金利来
百衣百顺 　　 ： 电熨斗
聪明何必绝顶，慧根长留 　　 ： 生发精
水往高处流 　　 ： 淄博市潜水电泵厂
大石化小，小石化了！ 　　 ： 治结石病
“闲”妻良母 　　 ： 洗衣机
“口服”，“心服”！ 　　 ：
盛满青春的秘密！ 　　 ： 女士提包
三十六计走为上 　　 ： 鞋
为了她的节日，献上您纯金般的心！ 　　 ： 首饰
用我们的钓线，你可以在鱼儿发现你之前先找到它 　　 ：约翰逊的钓具
生活就是一场运动，喝下它。 　　 ： Gatorade 饮料
选择维聚阿尔，已经表明你心明眼亮。 　　 ：维聚阿尔眼镜公司
佳能，我们看得见你想表达什么。 　　 ： 佳能公司（照相机）
天天都是春天 　　 ： 昆明
假如你不来，广告明星就是他 　　 ： 央视AD圣典
享受黑夜中偷拍的快感！ 　　 ： Siemens S57
彩信发送动人一刻 　　 ： 彩信
灵感点亮生活! 　　 ： 西门子
聪明演绎，无处不在！ 　　 ： 摩托罗拉手机
事业我一定争取，对你我从未放弃! 　　 ： 爱立信
波导手机，手机中的战斗机 　　 ： 波导手机
鄂尔多斯羊绒衫暖和全世界 　　 ： 鄂尔多斯羊绒衫
洁婷245再大的动作也不要紧 　　 ： 洁婷
做光明的牛，产光明的奶 　　 ： 光明
假如你的汽车会游泳的话，请照直开，不必刹车。 　　 ：公路交通广告
本书作者是百万富翁，未婚，他所希望的对象，就是本小说中描写的女主人公！　　 ： 新书广告
永远要让驾驶执照比你自己先到期。 　　 ： 汽车陈列室广告
请记住，上帝并不是十全十美的，它给汽车预备了备件，而人没有。 　　： 交通安全广告
小别意酸酸，欢聚心甜甜。 　　 ： 酸汁饮料广告
除钞票外，承印一切。 　　 ： 印刷公司广告
更多欢乐，更多选择 　　 ： 麦当劳
美由你做主 　　 ： up2tu
由我天地宽 　　 ： 中国网通
Sun是太阳，Java是月亮。 　　 ： Sun 公司
让天下没有难做的生意：让让诚信的商人富起来：他们在网上做成了生意，你呢？　　 ： 阿里巴巴
不断创新，因为专心 　　 ： Acer宏碁
招聘女秘书：长相像妙龄少女，思考像成年男子，处事像成熟的女士，工作起来像一头驴子！　　 ： 一家美国报纸
趁早下『斑』，请勿『痘』留。 　　 ：香港一家化妆品公司的广告
假如你听了一课之后发现不喜欢这门课程，那你可以要求退回你的学费，但必须用法语说。　　 ： 某一法语学习班的招生广告
请不要同刚刚走出本院的女人调情，她或许就是你的外祖母。 　　 ：美容院广告牌
创新就是生活 　　 ： 海信
有一个漂亮的地方，万科四季花城 　　 ： 万科
建筑无限生活 　　 ： 万科
臭名远扬，香飘万里 　　 ： 臭豆腐
尝尝欢笑，经常麦当劳 　　 ： 麦当劳
深入成就深度 　　 ： 南方周末
出色湖南，红网了然！ 　　 ： 红网
因为网络，地球如村！ 　　 ： 第四媒体
一种质感 ，两种表情 　　 ： 熊猫手机
恒久期盼 演绎维一 　　 ： 厦新彩屏手机
繁荣民族文化 传播艺术经典 　　 ： 某文化传播公司
不信，死给你看！ 　　 ： 灭蟑药
天生的，强生的 　　 ： 强生
雪津啤酒，真情的味道！ 　　 ： 雪津啤酒
听世界，打天下 　　 ： 海尔手机
雅芳比女人更了解女人 　　 ： 雅芳
Sun是太阳，Java是月亮。 　　 ： Sun
中国网通 由我天地宽 　　 ： 中国网通
无线你的无限 　　 ： 英特尔
家有三洋，冬暖夏凉 　　 ： 三洋空调
倾诉冬日暖语 　　 ： 摩托罗拉手机
谁让我心动？ 　　 ： FM365网站
灵活，让篮球场不再是一个平面 　　 ： 李宁牌
别吻我，我怕修。 　　 ： 润化油
一呼四应！ 　　 ： 音响公司广告
无所不包！ 　　 ： 饺子铺广告
当之无愧 　　 ： 当铺广告
以帽取人！ 　　 ： 帽子公司广告
一毛不拔！ 　　 ： 理发店广告
自讨苦吃！ 　　 ： 药店广告
成功与科技共辉映 　　 ： 奥迪
没有最好，只有更好 　　 ： 澳柯玛
世间百事皆不同，唯有——百事可乐。 　　 ： 百事可乐
共享，才能共赢！ 　　 ： 《现代广告》
邦迪坚信，没有愈合不了的伤口 　　 ： 邦迪
随心工作、随逸生活 　　 ： 联想天逸
把握无限未来 　　 ： 大显通信
科技创造自由 　　 ： 联想
超越平凡生活 　　 ： 卓越网
天天盖天力，添钙添活力 　　 ： 盖天力
水原来如此 　　 ： 乐百氏
世界因你而广阔 　　 ： 中国网通
生活节奏、尽在把握 　　 ： 爱立信
动感地带—-我的地盘 听我的 　　 ： 动感地带
以产业报国、以民族昌盛为己任 　　 ： 长虹
喜欢，有什么不可以 　　 ： 阿尔卡特OT515
27层净化 　　 ： 乐百氏
促进健康为全家 　　 ： 舒肤佳
春都进万家，宾朋满天下 　　 ： 春都火腿肠
奥妮洗发水：黑头发，中国货 　　 ： 奥妮洗发水
上海别克：当代精神，当代车 　　 ： 上海别克
润迅通讯：一呼天下应 　　 ： 润迅通讯
孔府家酒：孔府家酒，叫人想家 　　 ： 孔府家酒
康师傅：好吃看得见 　　 ： 康师傅
商务通：科技让你更轻松 　　 ： 商务通
我的眼里只有你。 　　 ： 娃哈哈纯净水
非常可乐，非常选择 　　 ： 非常可乐
新春新意新鲜新趣，可喜可贺可口可乐。 　　 ： 可口可乐
送礼就送脑白金。 　　 ： 脑白金
飘柔，就是这么自信。 　　 ： 飘柔
超越性能极限，领略出色计算 　　 ： AMD
美国货，本土价 　　 ： DELL
经典精铸，隽永典藏 　　 ： 明基
因聪明而不同 　　 ： 多普达
长城永不倒，国货当自强 　　 ： 奥尼皂角洗发浸膏
一种可以世袭的古典浪漫 　　 ： 房产
实力创造价值 　　 ： cctv
天生我就一肚子气！ 　　 ： 矿泉水广告
来也匆匆，去也冲冲 　　 ： 侧所
没有摩擦的感觉象在飞 　　 ： 某润滑油
不为诱惑谁，只为呵护美 　　 ： 美容连锁店广告语
天生的，强生的 　　 ： 强生
颠峰感受后的无尽回味 　　 ： 香烟
晶晶亮，透心凉！ 　　 ： 雪碧
用第三只眼睛看世界。 　　 ： 海鸥牌相机广告
百闻不如一键，不打不相识。 　　 ： 某打字机广告
当太阳升起的时候，我们的爱天长地久 　　 ： 太阳神
爱我，追我，但请别吻我！ 　　 ： 某汽车后贴的大大的标语
止，而后能观 　　 ： 中国银行
有空间，就有可能 　　 ： 别克汽车
突破科技，启迪未来 　　 ： audi
多一些润滑,少一些摩擦 　　 ： 统一润滑油
只要心相通，相隔千里也握手。 　　 ： 联通
煮酒论英雄才子赢天下 　　 ： 才子男装
男人应有自己的声音 　　 ： 阿尔卡特手机
万水千山 近在咫次 网络天空 任你翱翔 轻松面对 应付自如 　　 ：中国电信系列
播下一个行动，你将收获一种习惯；播下一种习惯，你将收获一种性格；播下一种性格，你将收获一种命运　　 ： 威廉·詹姆斯
万家乐，乐万家。 　　 ： 万家乐电器
有多少南方摩托车，就有多少动人的故事。 　　 ： 南方摩托
高兴奋兴上班去，平平安安回家来。 　　 ： 公益广告
Anacin去痛片：“快、快、快速见效。”
早一粒，晚一粒，远离感冒困扰
美国捷运公司：“你知道我吗？”
美国联邦快递公司：“快腿勤务员。
柯达：串起生活每一刻
美好的瞬间–柯尼卡相机
聪明人选”傻瓜”–傻瓜相机
输入千言万语，奏出一片深情–四通中外文文字处理机
百闻不如一印–湛江佳能复印机
山叶钢琴：学琴的孩子不会变坏
滚石乐队：“感觉是真实的。”
阿尔卡—舒尔茨公司：“多种广告。”
艾维斯：“我们正在努力。”
迪比尔斯：“钻石恒久远，一颗永留传。”
万宝路香烟：“万宝路的男人。”
耐克：“说做就做。”
风雨衣品牌格雷斯—–“就象我们的皮肤一样，无可比拟。
李德林漱口药水——“消除口臭！
飞亚达手表：一旦拥有，别无选择
李宁体育用品：把出色留给自己
美国征兵署：“成为一个全才。”
红塔集团广告语: 山高人为峰
将西方现代色彩与中国传统历史融合起来的东方明珠–香港旅游公益广告
德国大众：“小即是好。”
可口可乐：“享受清新一刻。”
万宝路香烟：“万宝路的男人。”
耐克：“说做就做。”
麦当劳：“你理应休息一天。”
迪比尔斯：“钻石恒久远，一颗永留传。”
米勒牌淡啤酒：“美妙口味不可言传。”
克莱罗染发水：“她用了？她没用？”
艾维斯：“我们正在努力。”
美国联邦快递公司：“快腿勤务员。”
阿尔卡—舒尔茨公司：“多种广告。”
百事可乐：“百事，正对口味。”
麦氏咖啡：“滴滴香浓，意犹未尽。”
象牙香皂：“100％的纯粹。”
美国捷运公司：“你知道我吗？”
美国征兵署：“成为一个全才。”
滚石乐队：“感觉是真实的。
